1: [9.0874]
2: [9.95963]
3: [9.58943]
4: [1.14985]
5: [2.65899]
6: [1.04669]
7: [6.71184]
8: [7.63045]
9: [7.07685]
10: [4.0195]
11: [10]
12: [3.35328]
13: [9.43654]
14: [4.92437]
15: [1.23743]
16: [1.56215]
17: [3.72897]
18: [8.26493]
19: [5.68459]
20: [2.0828]
21: [7.08966]
22: [3.25105]
23: [10]
24: [7.57308]
25: [6.04807]
26: [10]
27: [1.70376]
28: [9.77254]
29: [2.77892]
30: [6.03922]
31: [6.68743]
32: [5.75295]
33: [1.35096]
34: [2.04678]
35: [4.45988]
36: [4.16874]
37: [3.978]
38: [8.61315]
39: [9.90164]
40: [1.50508]
41: [7.26759]
42: [2.23325]
43: [10]
44: [8.33085]
45: [8.47215]
46: [1.61006]
47: [2.15604]
48: [5.54512]
49: [1.73885]
50: [3.90353]
51: [6.32579]
52: [10]
53: [4.35948]
54: [10]
55: [5.37727]
56: [3.90017]
57: [3.01972]
58: [5.66353]
59: [9.28791]
60: [4.75134]
61: [10]
62: [7.98508]
63: [1.80386]
64: [7.91122]
